

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
535.303  000.440  000.440: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/matchparen.vim
536.478  000.997  000.997: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/netrwPlugin.vim
536.814  000.104  000.104: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/rplugin.vim
537.033  000.033  000.033: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/rrhelper.vim
537.414  000.153  000.153: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/shada.vim
537.649  000.044  000.044: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/spellfile.vim
538.097  000.217  000.217: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/tarPlugin.vim
538.621  000.333  000.333: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/tohtml.vim
538.859  000.045  000.045: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/tutor.vim
539.354  000.266  000.266: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/zipPlugin.vim
540.092  000.197  000.197: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/after/plugin/automkdir.vim
541.236  000.782  000.782: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/after/plugin/indentLine.vim
541.251  019.703: loading plugins
541.493  000.242: loading packages
541.506  000.014: inits 3
548.514  007.008: reading ShaDa
552.777  004.263: clearing screen
556.516  000.658  000.658: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/autoload/remote/define.vim
556.921  001.860  001.202: sourcing /Users/paddy/.local/share/nvim/rplugin.vim
558.115  000.723  000.723: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions.vim
558.794  000.106  000.106: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/quickfix.vim
559.451  000.074  000.074: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/unite.vim
560.127  000.098  000.098: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/netrw.vim
560.844  000.134  000.134: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/ctrlp.vim
561.621  000.180  000.180: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/hunks.vim
562.351  000.115  000.115: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/tagbar.vim
563.885  000.927  000.927: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/branch.vim
565.229  000.578  000.578: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/whitespace.vim
566.059  000.095  000.095: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/neomake.vim
566.993  000.181  000.181: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/wordcount.vim
568.245  000.463  000.463: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/tabline.vim
568.820  000.091  000.091: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/tabline/autoshow.vim
572.065  000.185  000.185: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/tabline/tabs.vim
573.481  000.675  000.675: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/tabline/buffers.vim
574.482  000.350  000.350: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/tabline/ctrlspace.vim
579.820  000.219  000.219: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/section.vim
581.824  000.803  000.803: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/highlighter.vim
586.467  000.115  000.115: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/themes.vim
588.245  002.658  002.544: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/airline/themes/gruvbox.vim
605.488  000.177  000.177: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/util.vim
611.513  001.220  001.220: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/builder.vim
613.565  000.450  000.450: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/extensions/default.vim
616.892  000.157  000.157: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/sy.vim
625.576  005.147  005.147: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/tagbar.vim
639.575  000.253  000.253: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/neomake/neomake/autoload/neomake/statusline.vim
673.040  102.343: opening buffers
683.982  000.700  000.700: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/neomake/neomake/autoload/neomake/utils.vim
686.204  001.555  001.555: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/neomake/neomake/autoload/neomake/signs.vim
686.631  004.527  002.272: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/neomake/neomake/autoload/neomake/highlights.vim
686.930  009.363: BufEnter autocommands
686.939  000.009: editing files in windows
689.800  001.360  001.360: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/startify.vim
700.850  000.622  000.622: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/syntax/startify.vim
708.418  000.750  000.750: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler.vim
710.274  000.806  000.806: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/util.vim
711.814  000.909  000.909: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/vimfiler.vim
713.344  000.586  000.586: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Vim/Buffer.vim
713.548  001.062  000.475: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Vim/Buffer.vim
715.524  000.838  000.838: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Prelude.vim
715.992  001.598  000.761: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Prelude.vim
717.804  000.625  000.625: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Vim/Guard.vim
718.082  001.147  000.522: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Vim/Guard.vim
720.194  000.959  000.959: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Data/List.vim
720.657  001.690  000.731: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Data/List.vim
722.115  000.146  000.146: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Data/Dict.vim
722.238  000.509  000.363: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Data/Dict.vim
723.622  016.653  008.182: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/init.vim
725.427  000.504  000.504: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/variables.vim
728.049  000.143  000.143: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/System/Cache/Deprecated.vim
728.163  000.501  000.358: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/System/Cache/Deprecated.vim
730.303  001.169  001.169: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Data/String.vim
730.874  001.979  000.810: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vital/_vimfiler/Data/String.vim
733.523  006.503  004.023: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/mappings.vim
735.528  000.703  000.703: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/helper.vim
737.957  001.132  001.132: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/start.vim
740.471  001.306  001.306: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/helper.vim
742.756  001.207  001.207: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/init.vim
744.517  000.680  000.680: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/variables.vim
747.182  000.952  000.952: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/vital/_unite/Data/List.vim
747.643  001.652  000.700: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/vital/_unite/Data/List.vim
